抓取日期,来源编号,来源层级,地区,来源栏目,发布部门,文件标题,发布日期,命中关键词,原文链接,来源列表页
2026-04-27,SRC-R-007,区域监管,华东区域,国家能源局华东监管局-通知公告,国家能源局派出机构,国家能源局华东监管局关于印发《长三角跨省电力中长期市场实... 2026-04-17,2026-04-17,中长期,https://hdj.nea.gov.cn/dtyw/tzgg/202604/P020260417606107102994.pdf,https://hdj.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《重庆市电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299624.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《西藏自治区电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299625.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《湖北省电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299623.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,关于印发《江西省电力中长期市场实施细则》的通知 2026-04-14,2026-04-14,中长期,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260414_299627.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-002,区域监管,华中区域,国家能源局华中监管局-通知公告,国家能源局派出机构,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 2026-04-09,2026-04-09,中长期;省间,https://hzj.nea.gov.cn/dtyw/tzgg/202604/t20260409_299361.html,https://hzj.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-007,区域监管,华东区域,国家能源局华东监管局-通知公告,国家能源局派出机构,关于印发《安徽电力中长期市场实施细则》的通知 2026-03-31,2026-03-31,中长期,https://hdj.nea.gov.cn/dtyw/tzgg/202603/P020260331593555268345.pdf,https://hdj.nea.gov.cn/dtyw/tzgg/index_1.html
2026-04-27,SRC-R-007,区域监管,华东区域,国家能源局华东监管局-通知公告,国家能源局派出机构,关于印发《上海电力中长期市场实施细则》的通知 2026-03-31,2026-03-31,中长期,https://hdj.nea.gov.cn/dtyw/tzgg/202603/P020260331593974942947.pdf,https://hdj.nea.gov.cn/dtyw/tzgg/index_1.html
2026-04-27,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于公开征求《山东电力市场监管办法(征求意见稿)》等意见的通知 2026-03-27,2026-03-27,电力市场,https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260327_298703.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-003,区域监管,山东,国家能源局山东监管办公室-通知公告,国家能源局派出机构,关于公开征求《山东电力市场规则(试行)》(征求意见稿)意见的通知 2026-03-17,2026-03-17,电力市场,https://sdb.nea.gov.cn/dtyw/tzgg/202603/t20260317_298055.html,https://sdb.nea.gov.cn/dtyw/tzgg/
2026-04-27,SRC-R-004,区域监管,华北区域,国家能源局华北监管局-通知公告,国家能源局派出机构,华北能源监管局关于征求“蒙西电力调频辅助服务交易实施细则”意见的函 2026-03-06,2026-03-06,辅助服务,https://hbj.nea.gov.cn/hdhy/dczj/202603/t20260306_297498.html,https://hbj.nea.gov.cn/dtyw/tzgg/index_1.html
2026-04-27,SRC-R-006,区域监管,西北区域,国家能源局西北监管局-通知公告,国家能源局派出机构,国家能源局西北监管局 陕西省发展和改革委员会关于印发《陕西省电力中长期市场实施... 2026-02-28,2026-02-28,中长期,https://xbj.nea.gov.cn/dtyw/tzgg/202602/t20260228_297105.html,https://xbj.nea.gov.cn/dtyw/tzgg/
