评测编号,问题,标准依据文件,Top1资料编号,Top1标题,Top1得分,Top3标题,Top3命中,标准文件是否已入库,说明
Q-001,全国统一电力市场体系建设的主要目标是什么,关于加快建设全国统一电力市场体系的指导意见,AUTO-20260424-FD9AA2BEA1,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,51.00,国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 国家能源局关于印发《电力市场注册基本规则》的通知,是,是,
Q-002,电力市场注册基本规则对经营主体注册提出了哪些要求,电力市场注册基本规则,AUTO-20260424-2ABE953CDD,国家能源局关于印发《电力市场注册基本规则》的通知,47.00,国家能源局关于印发《电力市场注册基本规则》的通知 | 电力市场注册基本规则 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号),是,是,
Q-003,电力市场运行基本规则中市场成员包括哪些类型,电力市场运行基本规则,AUTO-20260424-10A4BBBC6D,电力市场运行基本规则_国家发展和改革委员会,37.00,电力市场运行基本规则_国家发展和改革委员会 | 关于建立全国统一电力市场评价制度的通知(发改办体改〔2025〕1032号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见,是,是,
Q-004,省间电力现货交易规则修订主要涉及哪些内容,关于修订省间电力现货交易规则的复函,AUTO-20260424-55178B2DFC,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号),65.00,关于修订省间电力现货交易规则的复函(发改办体改〔2026〕275号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于全面加快电力现货市场建设工作的通知(发改办体改〔2025〕394号),是,是,
Q-005,华中区域省间电力中长期市场实施细则适用于哪些交易范围,华中区域省间电力中长期市场实施细则,AUTO-20260424-97CB3F74FC,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知,55.00,国家能源局华中监管局关于印发《华中区域省间电力中长期市场实施细则》的通知 | 关于公开征求《华中区域省间电力中长期交易实施细则（征求意见稿）》意见的通知 | 国家能源局华中监管局关于公开征求《华中区域省间电力中长期交易规则（征求意见稿）》意见的通知,是,是,
Q-006,湖北省电力中长期市场实施细则规定了哪些主要交易类型,湖北省电力中长期市场实施细则,AUTO-20260424-663B4D5B07,关于印发《湖北省电力中长期市场实施细则》的通知,49.00,关于印发《湖北省电力中长期市场实施细则》的通知,是,是,
Q-007,山东电力市场规则试行文件中中长期和现货如何衔接,山东电力市场规则(试行),AUTO-20260427-698A8D7E10,关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知,41.50,关于修订《山东省电力现货市场交易规则(试行)》《山东省电力中长期市场交易规则(试行)》《山东省电力零售市场交易规则(试行)》的通知 | 关于山东电力现货市场由试运行转正式运行的通知 | 《山东电力市场规则(试行)》编制说明,是,是,
Q-008,山东并网运行和辅助服务管理实施细则涉及哪些主体和费用机制,山东省电力并网运行管理实施细则;山东省电力辅助服务管理实施细则,AUTO-20260424-08F5111897,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知,43.00,关于印发《山东省电力并网运行管理实施细则》《山东省电力辅助服务管理实施细则》(修订稿)的通知 | 关于印发《山东省电力并网运行管理实施细则》、《山东省电力辅助服务管理实施细则》的通知 | 关于公开征求《山东省电力并网运行管理实施细则(征求意见稿)》《山东省电力辅助服务管理实施细则(征求意见稿)》意见的通知,是,是,
Q-009,南方区域中长期电能量交易实施细则规定的交易组织方式有哪些,南方区域电力市场中长期电能量交易实施细则,AUTO-20260424-E89DAD0775,南方区域电力市场中长期电能量交易实施细则等5项实施细则,40.50,南方区域电力市场中长期电能量交易实施细则等5项实施细则 | 关于印发《南方区域跨区跨省电力中长期交易规则》的通知 | 电力中长期交易基本规则—绿色电力交易专章,是,是,
Q-010,辅助服务市场基本规则对辅助服务品种和结算提出了哪些要求,电力辅助服务市场基本规则,AUTO-20260425-54244C417B,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号),37.00,关于印发《电力辅助服务市场基本规则》的通知(发改能源规〔2025〕411号) | 国家发展改革委 国家能源局关于加快建设全国统一电力市场体系的指导意见 | 关于印发《电力辅助服务市场基本规则》的通知,是,是,
